id,external_id,name,her_nr,status,source_url
42,3854,ABARTH,3854,completed,https://www.irishautoparts.ie
43,609,AC,609,completed,https://www.irishautoparts.ie
44,1505,ACURA,1505,completed,https://www.irishautoparts.ie
45,6883,ADDAX,6883,completed,https://www.irishautoparts.ie
46,5063,ADIVA,5063,completed,https://www.irishautoparts.ie
47,4330,ADLY,4330,completed,https://www.irishautoparts.ie
48,5487,AEOLUS,5487,completed,https://www.irishautoparts.ie
49,4331,AEON,4331,completed,https://www.irishautoparts.ie
50,6465,AITO,6465,completed,https://www.irishautoparts.ie
51,5500,AIWAYS,5500,completed,https://www.irishautoparts.ie
52,1480,AIXAM,1480,completed,https://www.irishautoparts.ie
1,2,ALFA ROMEO,2,completed,https://www.irishautoparts.ie
53,866,ALPINA,866,completed,https://www.irishautoparts.ie
54,810,ALPINE,810,completed,https://www.irishautoparts.ie
55,6699,ALRENDO,6699,completed,https://www.irishautoparts.ie
56,4730,ALVIS,4730,completed,https://www.irishautoparts.ie
57,2246,AMC,2246,completed,https://www.irishautoparts.ie
58,3526,ANADOL,3526,completed,https://www.irishautoparts.ie
59,3971,ANDORIA,3971,completed,https://www.irishautoparts.ie
60,5479,ANKAI,5479,completed,https://www.irishautoparts.ie
61,5136,APOLLO,5136,completed,https://www.irishautoparts.ie
62,2524,APRILIA,2524,completed,https://www.irishautoparts.ie
63,5891,ARCFOX,5891,completed,https://www.irishautoparts.ie
64,4406,ARIEL,4406,completed,https://www.irishautoparts.ie
65,1360,ARO,1360,completed,https://www.irishautoparts.ie
66,3495,ARTEGA,3495,completed,https://www.irishautoparts.ie
67,2241,ASHOK LEYLAND,2241,completed,https://www.irishautoparts.ie
68,879,ASIA MOTORS,879,completed,https://www.irishautoparts.ie
69,4628,ASIAWING,4628,completed,https://www.irishautoparts.ie
70,2242,ASKAM,2242,completed,https://www.irishautoparts.ie
71,881,ASTON MARTIN,881,completed,https://www.irishautoparts.ie
72,5064,ATALA,5064,completed,https://www.irishautoparts.ie
2,5,AUDI,5,completed,https://www.irishautoparts.ie
73,2858,AUDI (FAW),2858,completed,https://www.irishautoparts.ie
74,6400,AUDI (SAIC),6400,completed,https://www.irishautoparts.ie
75,6,AUSTIN,6,completed,https://www.irishautoparts.ie
76,1538,AUSTIN-HEALEY,1538,completed,https://www.irishautoparts.ie
77,3,AUTO UNION,3,completed,https://www.irishautoparts.ie
78,799,AUTOBIANCHI,799,completed,https://www.irishautoparts.ie
79,3842,AUTOZAM,3842,completed,https://www.irishautoparts.ie
80,2845,AUVERLAND,2845,completed,https://www.irishautoparts.ie
81,6622,AVATR,6622,completed,https://www.irishautoparts.ie
82,132,AVIA,132,completed,https://www.irishautoparts.ie
83,6695,B-ON,6695,completed,https://www.irishautoparts.ie
84,8047,BAC,8047,completed,https://www.irishautoparts.ie
85,3773,BAIC,3773,completed,https://www.irishautoparts.ie
86,4418,BAIC BJEV,4418,completed,https://www.irishautoparts.ie
87,6302,BAIC RUIXIANG,6302,completed,https://www.irishautoparts.ie
88,4266,BAIC WEIWANG,4266,completed,https://www.irishautoparts.ie
89,6381,BAIZHI,6381,completed,https://www.irishautoparts.ie
90,4552,BAJAJ,4552,completed,https://www.irishautoparts.ie
91,3764,BAOJUN (SGMW),3764,completed,https://www.irishautoparts.ie
92,4423,BAOTIAN,4423,completed,https://www.irishautoparts.ie
93,134,BARKAS,134,completed,https://www.irishautoparts.ie
94,3071,BAW,3071,completed,https://www.irishautoparts.ie
95,10,BEDFORD,10,completed,https://www.irishautoparts.ie
96,4402,BEELINE,4402,completed,https://www.irishautoparts.ie
97,5670,BEIJING,5670,completed,https://www.irishautoparts.ie
98,2532,BENELLI,2532,completed,https://www.irishautoparts.ie
99,815,BENTLEY,815,completed,https://www.irishautoparts.ie
100,4801,BENZHOU,4801,completed,https://www.irishautoparts.ie
101,1485,BERTONE,1485,completed,https://www.irishautoparts.ie
102,5510,BESTUNE,5510,completed,https://www.irishautoparts.ie
103,3762,BESTURN (FAW),3762,completed,https://www.irishautoparts.ie
104,4315,BETA,4315,completed,https://www.irishautoparts.ie
105,4368,BIMOTA,4368,completed,https://www.irishautoparts.ie
106,4645,BIO AUTO,4645,completed,https://www.irishautoparts.ie
107,1486,BITTER,1486,completed,https://www.irishautoparts.ie
108,5738,BIZZARRINI,5738,completed,https://www.irishautoparts.ie
109,4712,BLUECAR,4712,completed,https://www.irishautoparts.ie
110,2243,BMC,2243,completed,https://www.irishautoparts.ie
3,16,BMW,16,completed,https://www.irishautoparts.ie
111,3124,BMW (BRILLIANCE),3124,completed,https://www.irishautoparts.ie
112,4439,BOGDAN,4439,completed,https://www.irishautoparts.ie
113,1537,BOND,1537,completed,https://www.irishautoparts.ie
114,136,BORGWARD,136,completed,https://www.irishautoparts.ie
115,2749,BREMACH,2749,completed,https://www.irishautoparts.ie
116,3076,BRILLIANCE,3076,completed,https://www.irishautoparts.ie
117,6541,BRILLIANCE XINRI,6541,completed,https://www.irishautoparts.ie
118,1487,BRISTOL,1487,completed,https://www.irishautoparts.ie
119,4540,BRIXTON,4540,completed,https://www.irishautoparts.ie
120,5128,BSA MOTORCYCLES,5128,completed,https://www.irishautoparts.ie
121,4048,BUELL,4048,completed,https://www.irishautoparts.ie
122,788,BUGATTI,788,completed,https://www.irishautoparts.ie
123,816,BUICK,816,completed,https://www.irishautoparts.ie
124,3136,BUICK (SGM),3136,completed,https://www.irishautoparts.ie
125,3122,BYD,3122,completed,https://www.irishautoparts.ie
126,3770,C.A.M,3770,completed,https://www.irishautoparts.ie
127,819,CADILLAC,819,completed,https://www.irishautoparts.ie
128,3528,CADILLAC (SGM),3528,completed,https://www.irishautoparts.ie
129,2554,CAGIVA,2554,completed,https://www.irishautoparts.ie
130,6476,CAKE,6476,completed,https://www.irishautoparts.ie
131,1488,CALLAWAY,1488,completed,https://www.irishautoparts.ie
132,1489,CARBODIES,1489,completed,https://www.irishautoparts.ie
133,2915,CASALINI,2915,completed,https://www.irishautoparts.ie
134,1490,CATERHAM,1490,completed,https://www.irishautoparts.ie
135,4617,CCM,4617,completed,https://www.irishautoparts.ie
136,5769,CENNTRO,5769,completed,https://www.irishautoparts.ie
137,4487,CEZETA,4487,completed,https://www.irishautoparts.ie
138,4424,CF MOTO,4424,completed,https://www.irishautoparts.ie
139,4609,CHANA,4609,completed,https://www.irishautoparts.ie
140,2852,CHANGAN,2852,completed,https://www.irishautoparts.ie
141,2889,CHANGFENG,2889,completed,https://www.irishautoparts.ie
142,2853,CHANGHE,2853,completed,https://www.irishautoparts.ie
143,2916,CHATENET,2916,completed,https://www.irishautoparts.ie
144,1491,CHECKER,1491,completed,https://www.irishautoparts.ie
145,7097,CHENGSHI,7097,completed,https://www.irishautoparts.ie
146,2887,CHERY,2887,completed,https://www.irishautoparts.ie
4,138,CHEVROLET,138,completed,https://www.irishautoparts.ie
147,3527,CHEVROLET (SGM),3527,completed,https://www.irishautoparts.ie
5,20,CHRYSLER,20,completed,https://www.irishautoparts.ie
148,5596,CIIMO,5596,completed,https://www.irishautoparts.ie
6,21,CITROËN,21,completed,https://www.irishautoparts.ie
149,3772,CMC,3772,completed,https://www.irishautoparts.ie
150,5482,COMARTH,5482,completed,https://www.irishautoparts.ie
151,4214,COWIN,4214,completed,https://www.irishautoparts.ie
152,4803,CPI,4803,completed,https://www.irishautoparts.ie
153,4896,CUPRA,4896,completed,https://www.irishautoparts.ie
7,139,DACIA,139,completed,https://www.irishautoparts.ie
154,4052,DAELIM,4052,completed,https://www.irishautoparts.ie
8,185,DAEWOO,185,completed,https://www.irishautoparts.ie
155,24,DAF,24,completed,https://www.irishautoparts.ie
9,25,DAIHATSU,25,completed,https://www.irishautoparts.ie
156,26,DAIMLER,26,completed,https://www.irishautoparts.ie
157,1493,DALLAS,1493,completed,https://www.irishautoparts.ie
158,807,DATSUN,807,completed,https://www.irishautoparts.ie
159,4267,DAYUN,4267,completed,https://www.irishautoparts.ie
160,4717,DE LA CHAPELLE,4717,completed,https://www.irishautoparts.ie
161,1494,DE LOREAN,1494,completed,https://www.irishautoparts.ie
162,1495,DE TOMASO,1495,completed,https://www.irishautoparts.ie
163,5140,DEARCC,5140,completed,https://www.irishautoparts.ie
164,6587,DEEPAL,6587,completed,https://www.irishautoparts.ie
165,4089,DENZA,4089,completed,https://www.irishautoparts.ie
166,4071,DERBI,4071,completed,https://www.irishautoparts.ie
167,3069,DERWAYS,3069,completed,https://www.irishautoparts.ie
168,2784,DESOTO,2784,completed,https://www.irishautoparts.ie
169,4269,DFSK,4269,completed,https://www.irishautoparts.ie
10,29,DODGE,29,completed,https://www.irishautoparts.ie
170,3659,DONGFENG,3659,completed,https://www.irishautoparts.ie
171,2854,DONGFENG (DFAC),2854,completed,https://www.irishautoparts.ie
172,5767,DONGFENG FUKANG,5767,completed,https://www.irishautoparts.ie
173,3152,DONGFENG XIAOKANG,3152,completed,https://www.irishautoparts.ie
174,4658,DONKERVOORT,4658,completed,https://www.irishautoparts.ie
175,5141,DORCEN,5141,completed,https://www.irishautoparts.ie
176,3497,DR,3497,completed,https://www.irishautoparts.ie
177,4468,DS,4468,completed,https://www.irishautoparts.ie
178,3999,DS (CAPSA),3999,completed,https://www.irishautoparts.ie
179,2759,DUCATI,2759,completed,https://www.irishautoparts.ie
180,6501,E.F.O,6501,completed,https://www.irishautoparts.ie
181,5705,E.GO,5705,completed,https://www.irishautoparts.ie
182,824,EAGLE,824,completed,https://www.irishautoparts.ie
183,142,EBRO,142,completed,https://www.irishautoparts.ie
184,4288,ECM,4288,completed,https://www.irishautoparts.ie
185,3618,EFFEDI,3618,completed,https://www.irishautoparts.ie
186,6177,ELARIS,6177,completed,https://www.irishautoparts.ie
187,7024,EMC,7024,completed,https://www.irishautoparts.ie
188,4491,EMCO,4491,completed,https://www.irishautoparts.ie
189,3332,EMGRAND,3332,completed,https://www.irishautoparts.ie
190,6758,EMW,6758,completed,https://www.irishautoparts.ie
191,6705,ENERGICA,6705,completed,https://www.irishautoparts.ie
192,5248,ENOVATE,5248,completed,https://www.irishautoparts.ie
193,4259,ENRANGER,4259,completed,https://www.irishautoparts.ie
194,5066,ETON,5066,completed,https://www.irishautoparts.ie
195,2857,EUNOS,2857,completed,https://www.irishautoparts.ie
196,6288,EV HOUSE,6288,completed,https://www.irishautoparts.ie
197,5522,EVERUS,5522,completed,https://www.irishautoparts.ie
198,6862,EVO,6862,completed,https://www.irishautoparts.ie
199,6772,EVUM MOTORS,6772,completed,https://www.irishautoparts.ie
200,5247,EXEED (CHERY),5247,completed,https://www.irishautoparts.ie
201,5412,F.B MONDIAL,5412,completed,https://www.irishautoparts.ie
202,4072,FANTIC,4072,completed,https://www.irishautoparts.ie
203,6089,FARGO,6089,completed,https://www.irishautoparts.ie
204,6000,FARIZON AUTO,6000,completed,https://www.irishautoparts.ie
205,3610,FAW,3610,completed,https://www.irishautoparts.ie
206,2909,FAW (JILIN),2909,completed,https://www.irishautoparts.ie
