id,manufacturer,manufacturer_external_id,external_id,name,status
1,AUDI,5,-1428226129,100,completed
2,AUDI,5,1307536344,200,completed
3,AUDI,5,-992823363,50,completed
4,AUDI,5,990099684,60,completed
5,AUDI,5,28876167,75,completed
6,AUDI,5,-231952883,80,completed
7,AUDI,5,1769205596,90,completed
8,AUDI,5,-1036201613,A1,completed
9,AUDI,5,-1893870440,A1 / S1,completed
10,AUDI,5,-536928311,A1 Allstreet,completed
11,AUDI,5,1893751861,A1 City Carver,completed
12,AUDI,5,-2145520449,A2,completed
13,AUDI,5,762007612,A3,completed
14,AUDI,5,-1115011535,A3 / S3,completed
15,AUDI,5,230380639,A3 Allstreet,completed
16,AUDI,5,-1098891,A4,completed
17,AUDI,5,821640998,A4 / S4,completed
18,AUDI,5,-1273214726,A4 Allroad,completed
19,AUDI,5,2037594996,A5,completed
20,AUDI,5,-1516355984,A5 / S5,completed
21,AUDI,5,-1063382091,A6,completed
22,AUDI,5,1810422881,A6 / S6,completed
23,AUDI,5,-1992640975,A6 Allroad,completed
24,AUDI,5,1674616146,A6 e-tron,completed
25,AUDI,5,347121625,A7,completed
26,AUDI,5,282624340,A7 / S7,completed
27,AUDI,5,-1577353637,A8,completed
28,AUDI,5,1119260130,A8 / S8,completed
29,AUDI,5,-1355309169,A8L,completed
30,AUDI,5,-417438485,ALLROAD,completed
31,AUDI,5,-1246658724,CABRIOLET,completed
32,AUDI,5,594688274,COUPE,completed
33,AUDI,5,925565096,E-TRON,completed
34,AUDI,5,1385892503,E-TRON GT,completed
35,AUDI,5,2008053690,F103,completed
36,AUDI,5,576465071,Q2,completed
37,AUDI,5,-2055364417,Q3,completed
38,AUDI,5,-1591590242,Q4,completed
39,AUDI,5,1545447405,Q5,completed
40,AUDI,5,2035698254,Q6,completed
41,AUDI,5,1874995883,Q7,completed
42,AUDI,5,-1487884932,Q8,completed
43,AUDI,5,454328919,Q8 E-TRON,completed
44,AUDI,5,1078998539,QUATTRO,completed
45,AUDI,5,1305709683,R8,completed
46,AUDI,5,767553827,SUPER 90,completed
47,AUDI,5,-2018319771,TT,completed
48,AUDI,5,259689599,V8,completed
49,ALFA ROMEO,2,253590637,145,completed
50,ALFA ROMEO,2,1035322734,146,completed
51,ALFA ROMEO,2,-1207662896,147,completed
52,ALFA ROMEO,2,325786444,155,completed
53,ALFA ROMEO,2,551759628,156,completed
54,ALFA ROMEO,2,-1895779837,159,completed
55,ALFA ROMEO,2,365280166,164,completed
56,ALFA ROMEO,2,1705252200,166,completed
57,ALFA ROMEO,2,125046793,1750-2000,completed
58,ALFA ROMEO,2,-1650590572,1900,completed
59,ALFA ROMEO,2,673230597,2300,completed
60,ALFA ROMEO,2,-1774419420,2600,completed
61,ALFA ROMEO,2,1823288724,33,completed
62,ALFA ROMEO,2,-382003525,4C,completed
63,ALFA ROMEO,2,-1645930095,4C SPIDER,completed
64,ALFA ROMEO,2,-1811217028,6,completed
65,ALFA ROMEO,2,997494499,75,completed
66,ALFA ROMEO,2,1100396290,8C,completed
67,ALFA ROMEO,2,1159729102,90,completed
68,ALFA ROMEO,2,558791602,ALFASUD,completed
69,ALFA ROMEO,2,-253318581,ALFETTA,completed
70,ALFA ROMEO,2,93559211,ALFETTA GT,completed
71,ALFA ROMEO,2,-2054762497,AR 6,completed
72,ALFA ROMEO,2,-1155896390,AR 8,completed
73,ALFA ROMEO,2,-1129167315,ARNA,completed
74,ALFA ROMEO,2,-1008759285,BRERA,completed
75,ALFA ROMEO,2,-1855542562,GIULIA,completed
76,ALFA ROMEO,2,13481879,GIULIETTA,completed
77,ALFA ROMEO,2,1797316635,GT,completed
78,ALFA ROMEO,2,-1240482419,GTA,completed
79,ALFA ROMEO,2,1308093301,GTV,completed
80,ALFA ROMEO,2,895794221,JUNIOR,completed
81,ALFA ROMEO,2,1889148121,MATTA,completed
82,ALFA ROMEO,2,2060498246,MITO,completed
83,ALFA ROMEO,2,94170078,MONTREAL,completed
84,ALFA ROMEO,2,1290037027,RZ,completed
85,ALFA ROMEO,2,-590036084,SPIDER,completed
86,ALFA ROMEO,2,1071653056,STELVIO,completed
87,ALFA ROMEO,2,201908593,SZ,completed
88,ALFA ROMEO,2,110613975,TONALE,completed
89,BMW,16,604245904,1,completed
90,BMW,16,1134989898,1500-2000,completed
91,BMW,16,-897620961,1502-2002,completed
92,BMW,16,553396521,1600 GT,completed
93,BMW,16,611040501,2,completed
94,BMW,16,953091552,2.5-3.2,completed
95,BMW,16,-1028753158,2000,completed
96,BMW,16,1108610074,2500-3.3,completed
97,BMW,16,-1805863027,3,completed
98,BMW,16,-1546578333,315,completed
99,BMW,16,167723169,319,completed
100,BMW,16,2093914663,320,completed
101,BMW,16,830340798,321,completed
102,BMW,16,121021884,326,completed
103,BMW,16,2070241547,340,completed
104,BMW,16,948089297,4,completed
105,BMW,16,-2082090447,5,completed
106,BMW,16,-391154976,501,completed
107,BMW,16,-1738391919,502,completed
108,BMW,16,-1719572596,503,completed
109,BMW,16,1138316026,507,completed
110,BMW,16,457500717,6,completed
111,BMW,16,977815777,600,completed
112,BMW,16,896970356,7,completed
113,BMW,16,-475574754,700,completed
114,BMW,16,2039470700,8,completed
115,BMW,16,1714110181,C,completed
116,BMW,16,-1577799058,C1,completed
117,BMW,16,1425149770,CE 02,completed
118,BMW,16,939548284,CE 04,completed
119,BMW,16,1302393511,F ( - 800cc),completed
120,BMW,16,1110091285,F (801cc - ),completed
121,BMW,16,-621720293,G,completed
122,BMW,16,729086953,GLAS,completed
123,BMW,16,483154183,HP,completed
124,BMW,16,1756474655,i3,completed
125,BMW,16,1585809335,i8,completed
126,BMW,16,-1123064905,ISETTA,completed
127,BMW,16,-1722454902,iX,completed
128,BMW,16,1498293098,K,completed
129,BMW,16,-1827297861,M,completed
130,BMW,16,538346507,M1,completed
131,BMW,16,-1116210752,R,completed
132,BMW,16,413492615,R 100,completed
133,BMW,16,1246357272,R 1100,completed
134,BMW,16,-1777147931,R 1150,completed
135,BMW,16,1968396885,R 1200,completed
136,BMW,16,960636148,R 1250,completed
137,BMW,16,-1899666958,R 1300,completed
138,BMW,16,1945139803,R 18,completed
139,BMW,16,1577598604,R 25,completed
140,BMW,16,2065348769,R 45,completed
141,BMW,16,-1553756025,R 50,completed
142,BMW,16,1830753422,R 60,completed
143,BMW,16,-1827785575,R 65,completed
144,BMW,16,-1663500197,R 69,completed
145,BMW,16,-1244840329,R 75,completed
146,BMW,16,364110273,R 80,completed
147,BMW,16,-246673218,R 850,completed
148,BMW,16,159944985,R 90,completed
149,BMW,16,1512086231,R 900,completed
150,BMW,16,-1670280522,S,completed
151,BMW,16,1514623194,V8,completed
152,BMW,16,1363968712,X1,completed
153,BMW,16,-439200609,X2,completed
154,BMW,16,587209287,X3,completed
155,BMW,16,-207280749,X4,completed
156,BMW,16,176572835,X5,completed
157,BMW,16,-61572620,X6,completed
158,BMW,16,820414709,X7,completed
159,BMW,16,1491278992,XM,completed
160,BMW,16,-1765134733,Z1,completed
161,BMW,16,2143590344,Z3,completed
162,BMW,16,1282152523,Z4,completed
163,BMW,16,-145118392,Z8,completed
164,CHEVROLET,138,-2015852450,ALERO,completed
165,CHEVROLET,138,1472822647,ASTRO,completed
166,CHEVROLET,138,-1275241717,AVALANCHE,completed
167,CHEVROLET,138,-764152390,AVEO,completed
168,CHEVROLET,138,607158789,AVEO / GENTRA,completed
169,CHEVROLET,138,848647852,AVEO / KALOS,completed
170,CHEVROLET,138,2119842835,AVEO U-VA,completed
171,CHEVROLET,138,1725593332,BERETTA,completed
172,CHEVROLET,138,-748262927,BLAZER S10,completed
173,CHEVROLET,138,1463445290,C1500,completed
174,CHEVROLET,138,-1182779500,C2500,completed
175,CHEVROLET,138,1111633488,CAMARO,completed
176,CHEVROLET,138,1168124855,CAPRICE,completed
177,CHEVROLET,138,104793865,CAPTIVA,completed
178,CHEVROLET,138,1775618058,CAPTIVA SPORT,completed
179,CHEVROLET,138,-41007014,CAVALIER,completed
180,CHEVROLET,138,2027567184,CORSA,completed
181,CHEVROLET,138,652612495,CORSICA,completed
182,CHEVROLET,138,817331173,CORVETTE,completed
183,CHEVROLET,138,-2029814648,CRUZE,completed
184,CHEVROLET,138,-582962651,EPICA,completed
185,CHEVROLET,138,860606986,EVANDA,completed
186,CHEVROLET,138,1515349841,EXPRESS,completed
187,CHEVROLET,138,878371808,G20,completed
188,CHEVROLET,138,-1219206387,HHR,completed
189,CHEVROLET,138,-2091292170,IMPALA,completed
190,CHEVROLET,138,-660898872,KALOS,completed
191,CHEVROLET,138,1700769942,LACETTI,completed
192,CHEVROLET,138,-236914954,LOVA,completed
193,CHEVROLET,138,-692875635,LUMINA,completed
194,CHEVROLET,138,-1423539253,LUMINA APV,completed
195,CHEVROLET,138,-1873439581,MALIBU,completed
196,CHEVROLET,138,88312868,MATIZ,completed
197,CHEVROLET,138,2017987745,MONTE CARLO,completed
198,CHEVROLET,138,-129804240,NIVA,completed
199,CHEVROLET,138,-881795545,NOVA,completed
200,CHEVROLET,138,-967183917,NUBIRA,completed
201,CHEVROLET,138,1391838786,OPTRA,completed
