id,manufacturer,model,external_id,name,year_from,year_to,status
1,AUDI,A1,38933,A1 Sportback (GBA) 7.2018,7.2018,,completed
2,AUDI,A1,9730,"A1 Sportback (8XA, 8XF) 9.2011-9.2019",9.2011,9.2019,completed
3,AUDI,A1,8604,"A1 (8X1, 8XK) 5.2010-9.2019",5.2010,9.2019,completed
4,ALFA ROMEO,145,278,145 (930_) 7.1994-1.2001,7.1994,1.2001,completed
5,ALFA ROMEO,146,1321,146 (930_) 12.1994-10.2001,12.1994,10.2001,completed
6,ALFA ROMEO,147,4735,147 (937_) 10.2000-12.2010,10.2000,12.2010,completed
7,ALFA ROMEO,155,282,155 (167_) 1.1992-12.1997,1.1992,12.1997,completed
8,ALFA ROMEO,156,2053,156 (932_) 9.1997-10.2005,9.1997,10.2005,completed
9,ALFA ROMEO,156,4635,156 Sportwagon (932_) 2.1997-5.2006,2.1997,5.2006,completed
10,ALFA ROMEO,159,5452,159 (939_) 6.2005-12.2012,6.2005,12.2012,completed
11,ALFA ROMEO,159,5543,159 Sportwagon (939_) 6.2005-12.2012,6.2005,12.2012,completed
12,ALFA ROMEO,164,287,164 (164_) 1.1987-10.1998,1.1987,10.1998,completed
13,ALFA ROMEO,166,3891,166 (936_) 9.1998-6.2007,9.1998,6.2007,completed
14,ALFA ROMEO,1750-2000,1818,1750-2000 (105_) 3.1968-7.1975,3.1968,7.1975,completed
15,ALFA ROMEO,1900,7546,1900 (190_) 10.1950-9.1959,10.1950,9.1959,completed
16,ALFA ROMEO,2300,4626,2300 (102_) 3.1974-12.1987,3.1974,12.1987,completed
17,ALFA ROMEO,2600,7549,2600 Berlina (117_) 1.1962-12.1969,1.1962,12.1969,completed
18,ALFA ROMEO,2600,7547,2600 Sprint (117_) 1.1962-12.1966,1.1962,12.1966,completed
19,ALFA ROMEO,2600,7548,2600 Spider (117_) 1.1961-12.1965,1.1961,12.1965,completed
20,ALFA ROMEO,33,295,33 (907_) 1.1990-9.1994,1.1990,9.1994,completed
21,ALFA ROMEO,33,305,33 Sportwagon (907_) 1.1990-9.1994,1.1990,9.1994,completed
22,ALFA ROMEO,33,300,33 Sportwagon (905_) 1.1984-12.1989,1.1984,12.1989,completed
23,ALFA ROMEO,33,291,33 (905_) 5.1983-12.1993,5.1983,12.1993,completed
24,ALFA ROMEO,4C,11241,4C (960_) 3.2013-12.2020,3.2013,12.2020,completed
25,ALFA ROMEO,4C SPIDER,13239,4C SPIDER (960_) 10.2014-12.2020,10.2014,12.2020,completed
